condition,cv,policy,n_prefill,service_scale,transfer_scale,seed,n_completed,n_arrivals,ttft_p50,ttft_p95,ttft_p99,qfrac_p99,qfrac_p95,attainment_p95_slo,throughput,max_pair_share
D,2,affine,1,0.5,1.0,4,5000,5000,0.09486536298484793,0.574530647198651,0.7987930790110548,0.8933947037104933,0.7801388798602745,1.0,2.8933636055863015,0.615
D,2,affine,1,0.5,1.0,5,5000,5000,0.09773039734511713,0.5939244303671046,0.8238269349676512,0.8975253179317556,0.7940073576401212,1.0,3.0616361192421286,0.6098
D,2,affine,1,0.5,1.4,1,5000,5000,0.10047755688617599,0.5675356183247573,0.8080790665094675,0.8818026475461707,0.7689847030199324,1.0,2.8881719279560367,0.5398
D,2,affine,1,0.5,1.4,2,5000,5000,0.10106442860498532,0.5973161562169709,0.8066826331588973,0.8961507973011641,0.7998152667213138,1.0,2.881025142577921,0.6066
D,2,affine,1,0.5,1.4,3,5000,5000,0.101680862344665,0.5910491810720602,0.7903448000529155,0.8993440745100993,0.7894424195330404,1.0,3.126202526122318,0.6118
D,2,affine,1,0.5,1.4,4,5000,5000,0.09845998718270721,0.5774373065250986,0.8002382180646019,0.888445727984264,0.7707769038667589,1.0,2.8933636055863015,0.615
D,2,affine,1,0.5,1.4,5,5000,5000,0.10047935989518919,0.5975720665025837,0.8265323544640958,0.8932221087825758,0.7878613850222405,1.0,3.0616361192421286,0.6098
D,2,affine,1,1.0,0.7,1,5000,5000,0.24845357633878962,1.400813011804894,2.1485800260381325,0.9389182410476701,0.8893756663962122,0.9998,2.8881865052547124,0.5596
D,2,affine,1,1.0,0.7,2,5000,5000,0.25209404877317354,1.4691183301049795,2.10355220488864,0.940966521464687,0.8961013787762805,1.0,2.881025142577921,0.546
D,2,affine,1,1.0,0.7,3,5000,5000,0.27489670824726886,1.4933544761630744,2.0781361879372433,0.9446738301912702,0.8988665711771261,1.0,3.126202526122318,0.5658
D,2,affine,1,1.0,0.7,4,5000,5000,0.242068182941793,1.3682871551633042,2.0027916982889096,0.9333486517782111,0.8757024911329131,0.9994,2.8933636055863015,0.5574
D,2,affine,1,1.0,0.7,5,5000,5000,0.2675779035654102,1.5665525073129913,2.213070926087768,0.9409252662303709,0.9007422992178739,1.0,3.0616361192421286,0.5624
D,2,affine,1,1.0,1.0,1,5000,5000,0.2500156420668418,1.4034826071483537,2.1497330511142825,0.9374883805855183,0.8876058672869233,0.9998,2.8881865052547124,0.5596
