run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3
e2_B_p0.7_c016_l0.80_L2_g0.5_r02,B,0.7,0.8,4.571428571428572,L2,0.5,16,2,1002,200,56.64170947453409,0,9732,0.3532695979445731,0.33011148625984127,0.4364217398770382,0.2573110905149343,0.6482527367847798,0.5052961977565985,0.30331434779502614,0.531005859375,0.18282378421822304,0.14415289618885277,1.0,1.0,1.0,0.37473544692007865,0.3706500001374333,0.36012664707079123,0.37078860246477585,0,0.37473544692007865,False,4043.0,2528,4009.0,2505,3953.0,2450,3021.0,2508
e2_B_p0.7_c016_l0.80_L2_g0.5_r03,B,0.7,0.8,4.571428571428572,L2,0.5,16,3,1003,200,62.65035449693088,0,9722,0.35196005995791524,0.3294676459750648,0.39848404422502665,0.25513562583449473,0.6741616198124166,0.5057097935899114,0.28125,0.53125,0.15419282568748038,0.1652918607143147,1.0,1.0,1.0,0.36698317633544836,0.3719092524991076,0.3666163502287487,0.370300622723897,1,0.3719092524991076,False,3166.0,2486,4051.0,2512,4059.0,2495,4008.0,2499
e2_B_p0.7_c016_l0.80_L2_g0.5_r04,B,0.7,0.8,4.571428571428572,L2,0.5,16,4,1004,200,59.22360354845656,0,9729,0.347162916454932,0.33271567082431874,0.4273446894951801,0.2564121866023857,0.6603137216458447,0.5061956987138214,0.28125,0.53125,0.16923822654691548,0.16420142443742622,1.0,1.0,1.0,0.37157336964545,0.3643873949890148,0.3709408992034753,0.3734637269747197,3,0.3734637269747197,False,2167.0,2540,2992.0,2457,3851.0,2487,2147.0,2509
e2_B_p0.7_c016_l0.80_L2_g0.5_r05,B,0.7,0.8,4.571428571428572,L2,0.5,16,5,1005,200,72.3266869497989,0,9687,0.34854536518119544,0.33110481942139447,0.402144612647989,0.2549329236575816,0.6570017867992188,0.5061679097876651,0.28125,0.5338076295033031,0.14557510618618622,0.1518029717603983,1.0,1.0,1.0,0.36984334115708567,0.3654401423361448,0.3694587701101728,0.3652633047895027,0,0.36984334115708567,False,3075.0,2519,3905.0,2502,3174.0,2474,3995.0,2496
e2_B_p0.7_c016_l0.80_L2_g0.5_r06,B,0.7,0.8,4.571428571428572,L2,0.5,16,6,1006,200,61.756917950076094,0,9704,0.35692578934530167,0.3276751670214882,0.4222021152892286,0.2559518095385417,0.6651829422807941,0.5067638675617894,0.28125,0.5412814801134799,0.1759121988033304,0.164385832403435,1.0,1.0,1.0,0.35585741543555255,0.36156958732768807,0.3749719276586881,0.3699431149311567,2,0.3749719276586881,False,3096.0,2485,2994.0,2448,3167.0,2551,4055.0,2509
e2_B_p0.7_c016_l0.80_L2_g0.5_r07,B,0.7,0.8,4.571428571428572,L2,0.5,16,7,1007,200,62.82357748468135,0,9726,0.3504982007910014,0.33077953372969804,0.40112280499637776,0.255998821332813,0.6585013731012203,0.5061939395894707,0.28936726494162024,0.5479847014392584,0.15184136695675035,0.15846588015684357,1.0,1.0,1.0,0.3745602922469605,0.37434719783699105,0.3765326267609183,0.3744699925945142,2,0.3765326267609183,False,3952.0,2485,3088.0,2488,4027.0,2496,3115.0,2523
e2_B_p0.7_c016_l0.80_L2_g0.5_r08,B,0.7,0.8,4.571428571428572,L2,0.5,16,8,1008,200,57.23844123826943,0,9716,0.34943674189830043,0.33217660144478817,0.43932116990542946,0.25716878648138536,0.6618955228925857,0.506749584489749,0.2954155985770015,0.5428145010935093,0.18178345499565016,0.1602864907967489,1.0,1.0,1.0,0.37632274617106015,0.37733331326366687,0.37328417277818354,0.3711119663219163,1,0.37733331326366687,False,3006.0,2500,2946.0,2486,3017.0,2504,2145.0,2504
e2_B_p0.7_c016_l0.80_L2_g0.5_r09,B,0.7,0.8,4.571428571428572,L2,0.5,16,9,1009,200,57.05915475692889,0,9717,0.35218356622420566,0.3301162007388125,0.42395687384225206,0.25644424213849226,0.6538034495166016,0.5053560716653738,0.2912477214763953,0.53125,0.16802520107555693,0.14896824352626936,1.0,1.0,1.0,0.3657835163296725,0.3692564667040955,0.37593059839632964,0.3741394351610424,2,0.37593059839632964,False,3054.0,2457,3134.0,2496,2948.0,2546,3204.0,2496
e2_B_p0.7_c016_l0.80_L2_g0.5_r10,B,0.7,0.8,4.571428571428572,L2,0.5,16,10,1010,200,70.25001905001136,0,9696,0.35566306007708176,0.3275569557029318,0.399815282395225,0.25533474363389586,0.6542806630551444,0.5055192981967298,0.28125,0.53125,0.14698551912355465,0.1606030296764129,1.0,1.0,1.0,0.3737423999020917,0.377318258770333,0.373691701272429,0.36777314771274205,1,0.377318258770333,False,4091.0,2526,2892.0,2530,3119.0,2496,3077.0,2439
e2_A_p0.7_c016_l0.80_L1_g2.0_r02,A,0.7,0.8,1.142857142857143,L1,2.0,16,2,1002,200,234.18987833303225,13,9725,0.35331808929438113,3.03207217453278,12.722028180089092,3.4562912878736345,2.470004943513023,2.0107654023656427,9.15630072179465,2.1171875,11.733151074471971,0.33987990131485246,0.3639935962741959,0.49474421864050455,0.7357207675400532,0.8428160121961384,0.21100934437621405,0.20867530185721697,0.21442086658838014,0,0.8428160121961384,False,7841.0,7224,6245.0,913,6235.0,914,8186.0,932
e2_A_p0.7_c016_l0.80_L1_g2.0_r01,A,0.7,0.8,1.142857142857143,L1,2.0,16,1,1001,200,231.55811580089517,26,9716,0.3452894422726003,2.585123094873223,9.789062190510522,2.8401204218296026,2.7297277826019144,2.0172861379677025,6.70847184377725,2.119140625,8.778368098798456,0.615963159321338,0.4280387770320656,0.4981733643307871,0.8592165050956997,0.8149695509921244,0.2177148135493808,0.21420850435775746,0.22375017490705512,0,0.8149695509921244,False,7319.0,7074,8150.0,968,6348.0,949,8043.0,992
e2_A_p0.7_c016_l0.80_L1_g2.0_r05,A,0.7,0.8,1.142857142857143,L1,2.0,16,5,1005,200,291.2736137921787,10,9686,0.34852981032065355,2.673272459062429,10.22983942878272,2.959769735706104,2.5521682682640705,2.014923763090975,7.2204182854192345,2.1181640625,9.207644229187418,0.56246170771228,0.4105793450881612,0.4868913857677903,0.8432668087579925,0.8256562334480392,0.214612706786273,0.21073034922831188,0.21915822504202123,0,0.8256562334480392,False,7306.0,7131,6109.0,952,8044.0,925,7922.0,975
e2_A_p0.7_c016_l0.80_L1_g2.0_r03,A,0.7,0.8,1.142857142857143,L1,2.0,16,3,1003,200,254.8151363139487,162,9718,0.3519478965211716,3.0226833627105325,18.92289539099004,3.413499447211129,5.115289657799101,2.096138812741204,8.457796912348924,2.123046875,17.879784318185145,0.4512197766243439,0.3757132406730066,0.4980922650017343,0.7543045075628677,0.8383388969693235,0.2120739109524474,0.20991777778475929,0.21562613862900018,0,0.8383388969693235,False,7368.0,7200,6378.0,923,6236.0,920,6262.0,942
e2_A_p0.7_c016_l0.80_L1_g2.0_r06,A,0.7,0.8,1.142857142857143,L1,2.0,16,6,1006,200,249.3902842760003,56,9702,0.3568980450439599,2.9171633741997685,13.514254767430863,3.2723468867238084,2.871900142566771,2.0305485305046247,8.156587219072842,2.119140625,12.540613344755732,0.45953983723853475,0.3831384437707521,0.47495495495495493,0.806683749213837,0.8413347179393134,0.20670084830305788,0.2060118694855952,0.2077989154392858,0,0.8413347179393134,False,7189.0,7255,8112.0,905,7926.0,903,6292.0,920
e2_A_p0.7_c016_l0.80_L1_g2.0_r04,A,0.7,0.8,1.142857142857143,L1,2.0,16,4,1004,200,238.18472554822745,0,9728,0.34719847142044885,2.609628690906763,9.030639777384785,2.87259964175056,2.452980827111515,2.0115490157631974,6.545293108376153,2.1171875,8.00742604896266,0.4535211421606641,0.41394109812046764,0.4887243352406597,0.8469827841018659,0.831197730421484,0.2164408582535718,0.22531444602098383,0.20734827629523014,0,0.831197730421484,False,8085.0,7138,6295.0,948,6275.0,989,6347.0,909
e2_A_p0.7_c016_l0.80_L1_g2.0_r07,A,0.7,0.8,1.142857142857143,L1,2.0,16,7,1007,200,251.33500345724246,210,9726,0.3504982007910014,3.287375930848888,19.924306623005183,3.7917968192862004,7.136096206023878,2.1041471595196706,10.011929398484096,2.1220703125,18.93551756050518,0.6710495907750739,0.35225106320574867,0.4871001031991744,0.723159492047395,0.8465626353281439,0.2137665072277614,0.21734246028798646,0.22235197072432758,0,0.8465626353281439,False,7139.0,7175,8106.0,928,6124.0,930,6277.0,951
e2_A_p0.7_c016_l0.80_L1_g2.0_r08,A,0.7,0.8,1.142857142857143,L1,2.0,16,8,1008,200,234.26850396180808,18,9710,0.3493938299540431,2.927008299491997,12.203309465242963,3.3169492009574326,2.6993752390284276,2.0198179391453803,8.649355260418929,2.119140625,11.19740282862722,0.6619237781623223,0.38212339861581507,0.4679684823569716,0.8165579799118332,0.8398635332333801,0.22027694002757472,0.220194128191287,0.21803905424498932,0,0.8398635332333801,False,8134.0,7136,7926.0,949,6174.0,955,7728.0,942
e2_A_p0.7_c016_l0.80_L1_g2.0_r09,A,0.7,0.8,1.142857142857143,L1,2.0,16,9,1009,200,234.94363215119338,8,9702,0.3522081133084978,2.9968407583282892,12.353278624134882,3.411569673078236,2.499126966613835,2.0100719611646225,9.05979927559315,2.1181640625,11.318501313274528,0.48380387079232656,0.3788610745132484,0.4991292232671543,0.7590440648482457,0.8412742370900332,0.21569048707744218,0.21082830920320753,0.21762982112377405,0,0.8412742370900332,False,6180.0,7182,8180.0,936,8072.0,917,8114.0,949
e2_A_p0.7_c016_l0.80_L1_g2.0_r10,A,0.7,0.8,1.142857142857143,L1,2.0,16,10,1010,200,281.00007620004544,32,9696,0.35566306007708176,2.9805004502180936,13.01558936376783,3.3719372652427935,2.6208348542937707,2.0159632179117866,8.444617406834366,2.11923828125,12.039237479132789,0.5419089610582534,0.3571117877337973,0.4948195784208646,0.7217010064020929,0.856865291626496,0.21109555650960285,0.2152380759583654,0.20895829447669784,0,0.856865291626496,False,8186.0,7235,8116.0,913,6203.0,930,6185.0,905
