run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,sanity_flag,ts_utc
e1_A_p0.9_l0.65_L1_g1.0_r03,A,0.9,0.65,1.4444444444444446,L1,1.0,32,3,1003,200,166.4450896363774,0,9775,0.4520446251283541,1.007516458987635,3.510545023800504,1.0086662730794602,1.06201171875,0.996772693452381,2.354594564948729,1.055078125,2.975374558764458,0.0,0.9202718006795017,1.0,0.9202718006795017,0.6616883347047242,0.0392528894111796,0.0425417172037677,0.0457279468745834,0,0.6616883347047242,False,7397.0,9103,6371.0,269,8097.0,293,6169.0,319,False,2026-08-27T15:06:13.633719+00:00
e1_A_p0.9_l0.65_L1_g1.0_r04,A,0.9,0.65,1.4444444444444446,L1,1.0,32,4,1004,200,149.80166711508988,0,9777,0.4468497421707704,0.9525721185214128,3.189674838111872,0.9470198916228666,1.06103515625,0.9993671648987464,2.1233913037274643,1.0556640625,2.7004773418898216,0.0,0.9378718535469108,1.0,0.9378718535469108,0.6535714372184206,0.0456542404692717,0.0467437368944841,0.0462671671186726,0,0.6535714372184206,False,8154.0,9024,6175.0,317,6217.0,326,8105.0,316,False,2026-08-27T15:06:14.848398+00:00
e1_A_p0.9_l0.65_L1_g1.0_r05,A,0.9,0.65,1.4444444444444446,L1,1.0,32,5,1005,200,171.94088645887487,0,9767,0.4492817435081452,0.9762081311975356,3.299441326708512,0.9734610333445036,1.0610693359375,1.0004538952464788,2.219837024577577,1.05517578125,2.788729381150305,0.0,0.9304684828450928,1.0,0.9304684828450928,0.6534366600044017,0.0451104159779044,0.0441816481475871,0.0426896701546476,0,0.6534366600044017,False,7142.0,9061,8100.0,317,6179.0,309,6214.0,297,False,2026-08-27T15:06:16.093140+00:00
e1_A_p0.9_l0.65_L1_g1.0_r06,A,0.9,0.65,1.4444444444444446,L1,1.0,32,6,1006,200,143.8576208021206,0,9774,0.4506852937849199,0.9794600090744277,3.0456801452693787,0.9772144949001152,1.0617138671875,1.000029105648271,2.2550132296578567,1.0556396484375,2.5483916293172064,0.0,0.9239673172945982,1.0,0.9239673172945982,0.658867106852648,0.04256186950324,0.0434913220103204,0.0436564480709396,0,0.658867106852648,False,8192.0,9084,6190.0,295,7970.0,297,8102.0,306,False,2026-08-27T15:06:17.333122+00:00
e1_A_p0.9_l0.65_L1_g1.0_r07,A,0.9,0.65,1.4444444444444446,L1,1.0,32,7,1007,200,154.62651403120844,0,9783,0.4504935072400906,0.985374912165388,2.9000392927804826,0.9838529236716186,1.06103515625,0.9992506624870734,2.180795380260633,1.056640625,2.39674487350738,0.0,0.9308076225045372,1.0,0.9308076225045372,0.6713143216177075,0.0432396124481551,0.04261462750964,0.0442952525492641,0,0.6713143216177075,False,8024.0,9103,8154.0,290,7932.0,292,6344.0,297,False,2026-08-27T15:06:18.533138+00:00
e1_A_p0.9_l0.65_L1_g1.0_r08,A,0.9,0.65,1.4444444444444446,L1,1.0,32,8,1008,200,150.76254989279474,0,9773,0.4508568805658674,1.0246036386418196,3.256692253449631,1.0272016604991785,1.0615234375,1.0005589872442286,2.368614171580725,1.0556640625,2.764477127683078,0.0,0.9111111111111112,1.0,0.9111111111111112,0.6689423038414993,0.0399965680224775,0.0471464816863727,0.0439588685056363,0,0.6689423038414993,False,8134.0,9089,7992.0,273,6246.0,320,6206.0,301,False,2026-08-27T15:06:19.779351+00:00
e1_A_p0.9_l0.65_L1_g1.0_r09,A,0.9,0.65,1.4444444444444446,L1,1.0,32,9,1009,200,144.50517025939556,0,9779,0.452606271420533,1.0248634235744891,3.55186790073734,1.02752798844837,1.0615234375,0.9995400401114392,2.4453264676477824,1.056640625,3.031063995368147,0.0,0.9096971066907776,1.0,0.9096971066907776,0.6670756041390017,0.0400789024044291,0.0424176570363239,0.0442962967228261,0,0.6670756041390017,False,8175.0,9119,6211.0,273,8095.0,288,8049.0,302,False,2026-08-27T15:06:20.969835+00:00
e1_A_p0.9_l0.65_L1_g1.0_r10,A,0.9,0.65,1.4444444444444446,L1,1.0,32,10,1010,200,171.57955788600034,0,9768,0.4518861866534325,0.9708546993715412,3.117822474312721,0.9678733960330724,1.0615234375,0.9988535779587768,2.1549449412091803,1.05615234375,2.617714486798337,0.0,0.9356592659719076,1.0,0.9356592659719076,0.6730949797420739,0.0411010114757338,0.0422409730026122,0.0457055519167254,0,0.6730949797420739,False,8186.0,9103,6219.0,282,8182.0,287,6380.0,311,False,2026-08-27T15:06:22.150774+00:00
e1_A_p0.9_l0.65_L1_g2.0_r01,A,0.9,0.65,0.7222222222222223,L1,2.0,32,1,1001,200,273.5331010672288,0,9780,0.448519993754879,1.935420708064746,5.891374437213544,1.928429505874098,2.121953125,1.9959260087611064,4.402192104922369,2.1103515625,4.8871932072692665,0.0,0.6556404699441086,0.5370187561697927,0.8190750583403917,0.6516079351540812,0.0433660000211639,0.0411952321101645,0.0466275415760407,0,0.6516079351540812,False,7405.0,9070,6316.0,305,8183.0,285,8098.0,323,False,2026-08-27T15:06:23.415097+00:00
e1_A_p0.9_l0.65_L1_g2.0_r02,A,0.9,0.65,0.7222222222222223,L1,2.0,32,2,1002,200,295.75041087665,0,9780,0.4513099117242141,2.0087019150621064,7.026292711286532,2.009582332041736,2.1220703125,2.000547202911857,4.633850025711715,2.11328125,5.988293919750093,0.0,0.6406480117820325,0.4984260230849947,0.77800291879244,0.6644530593434358,0.0413587256762016,0.0427435514021242,0.0434249038171471,0,0.6644530593434358,False,7848.0,9115,6375.0,278,6329.0,290,6287.0,301,False,2026-08-27T15:06:24.671115+00:00
