run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,variant,replication_active,replication_kv_extra,total_input_tokens,replication_tokens,replication_share
e3_A_p0.7_c016_l0.50_L2_g1.0_base_r03,A,0.7,0.5,1.4285714285714286,L2,1.0,16,3,1003,200,200.8987421649551,0,9722,0.35196005995791524,0.8727145149416967,2.4063510517975115,0.8190077125589854,1.06201171875,1.000054013795019,1.7404838088189305,1.0576171875,1.8941713196554193,0.0,0.9744077215560105,1.0,0.9744077215560105,0.5561532306106122,0.12419510550637951,0.12000106710222831,0.12217578282961707,0,0.5561532306106122,False,3261.0,7430,2142.0,873,2082.0,838,1973.0,854,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L2_g1.0_base_r04,A,0.7,0.5,1.4285714285714286,L2,1.0,16,4,1004,200,189.67008414687018,0,9729,0.347162916454932,0.8522594780528502,2.3180335408446755,0.7870696330309489,1.06201171875,1.00047205638831,1.6170466754474542,1.056640625,1.8015280588677884,0.0,0.9794287405653397,1.0,0.9794287405653397,0.550320656159873,0.12681210343332214,0.12587322279915295,0.12225259813137096,0,0.550320656159873,False,4032.0,7363,4001.0,886,2155.0,878,2125.0,866,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L2_g1.0_base_r05,A,0.7,0.5,1.4285714285714286,L2,1.0,16,5,1005,200,231.24990199376518,0,9688,0.34856016110855564,0.857419987747436,2.5034537575488685,0.794542364217972,1.06201171875,1.0019507458160126,1.6727064373299072,1.05712890625,2.0074486560019977,0.0,0.9758554288253593,1.0,0.9758554288253593,0.5416821131401927,0.125051623333039,0.12611896982439227,0.12588039903968273,0,0.5416821131401927,False,3105.0,7312,3985.0,883,4090.0,891,3954.0,906,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L2_g1.0_base_r06,A,0.7,0.5,1.4285714285714286,L2,1.0,16,6,1006,200,198.04621179580025,0,9703,0.35691300501077794,0.8586937921898763,2.2552988588810767,0.8013830954695109,1.06201171875,1.0017743352092243,1.628738424932271,1.05615234375,1.7300996188907862,0.0,0.9787817551963048,1.0,0.9787817551963048,0.5579004612310616,0.11840218880516393,0.1167945054498125,0.12071773647560728,0,0.5579004612310616,False,3956.0,7485,4092.0,839,1935.0,817,3896.0,851,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L2_g1.0_base_r07,A,0.7,0.5,1.4285714285714286,L2,1.0,16,7,1007,200,200.731381672044,0,9726,0.3504982007910014,0.8640560922025441,2.150061337192418,0.8061067529321301,1.0615234375,0.9999888560432574,1.6517216151000578,1.056640625,1.6631776159188734,0.0,0.9821088136090336,1.0,0.9821088136090336,0.5600768491388469,0.12536815832862622,0.12757590622551412,0.1245322107297061,0,0.5600768491388469,False,3115.0,7390,3943.0,863,4036.0,880,4022.0,860,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L2_g1.0_base_r08,A,0.7,0.5,1.4285714285714286,L2,1.0,16,8,1008,200,182.8653557124622,0,9718,0.3494146633885882,0.8799451266255167,2.3048837411718885,0.8275929564517138,1.06201171875,1.0017656335311451,1.7331945264171733,1.05712890625,1.7947197082159616,0.0,0.9738119758717081,1.0,0.9738119758717081,0.5579971152551725,0.125788443733618,0.12626825809503733,0.12627707197245538,0,0.5579971152551725,False,3158.0,7368,3972.0,876,3852.0,876,3945.0,872,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L2_g1.0_base_r09,A,0.7,0.5,1.4285714285714286,L2,1.0,16,9,1009,200,182.4698444358127,0,9717,0.35218356622420566,0.8792747006277689,2.5422284532021897,0.8285967278491178,1.06201171875,0.9998199063922865,1.7657211397954597,1.05712890625,2.034125194391209,0.0,0.9678409589241339,1.0,0.9678409589241339,0.5563314867000114,0.12646624966632544,0.12425100125567447,0.12117247445814644,0,0.5563314867000114,False,3204.0,7399,3864.0,879,3998.0,868,2110.0,847,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L2_g1.0_base_r10,A,0.7,0.5,1.4285714285714286,L2,1.0,16,10,1010,200,224.53756096003636,0,9696,0.35566306007708176,0.8575388605437848,2.3139725706805985,0.7994322147671598,1.06201171875,1.000719116321342,1.64475528995697,1.0576171875,1.797178090880443,0.0,0.9797013194142381,1.0,0.9797013194142381,0.5652627285430123,0.12394882038979353,0.1231725374337823,0.12040426386306897,0,0.5652627285430123,False,3974.0,7442,4021.0,868,2105.0,845,2172.0,838,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L2_g1.0_base_r01,B,0.7,0.5,1.4285714285714286,L2,1.0,16,1,1001,200,184.03048883678895,0,9716,0.3452894422726003,0.6565233446418399,0.5821191834736965,0.5017169230140782,1.1116677299421558,1.0012516930357762,0.55810546875,1.05712890625,0.08040113022347213,0.10619371073423765,1.0,1.0,1.0,0.22766066763360762,0.22709610738470468,0.22870726081729978,0.23560468052948133,3,0.23560468052948133,False,3038.0,2450,2126.0,2512,3976.0,2496,3046.0,2535,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L2_g1.0_base_r02,B,0.7,0.5,1.4285714285714286,L2,1.0,16,2,1002,200,180.9379429747591,0,9732,0.3532695979445731,0.6496045810777913,0.660949024439015,0.5031250401009377,1.0625,1.0020886007543295,0.5576171875,1.05810546875,0.15587548330098852,0.031428586524744125,1.0,1.0,1.0,0.23350612305419746,0.22599681233157154,0.23292701889430467,0.23025092623800658,0,0.23350612305419746,False,3977.0,2531,3931.0,2460,3985.0,2502,3157.0,2498,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L2_g1.0_base_r04,B,0.7,0.5,1.4285714285714286,L2,1.0,16,4,1004,200,189.219339948811,0,9729,0.347162916454932,0.6554907614742977,0.575083871491988,0.5027110379915976,1.095781507350888,1.0028435850182431,0.5576171875,1.0576171875,0.06733399238280069,0.09387921450258545,1.0,1.0,1.0,0.23079181680164523,0.23110263225617528,0.229955224758052,0.23337490584334242,3,0.23337490584334242,False,2167.0,2487,3117.0,2483,4022.0,2504,2925.0,2518,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L2_g1.0_base_r03,B,0.7,0.5,1.4285714285714286,L2,1.0,16,3,1003,200,200.20369298392882,0,9724,0.35199051516786156,0.6498807887076714,0.5761782312756522,0.5014080187983581,1.1065609477276304,1.0020145425841287,0.55712890625,1.05908203125,0.07123316002486688,0.1270896681015211,1.0,1.0,1.0,0.2332423210637039,0.23424769470503481,0.22607522455184523,0.2288660055747285,1,0.23424769470503481,False,3166.0,2522,4087.0,2524,4002.0,2472,3225.0,2475,base,False,0,,0,0.0
