run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,replication_active,replication_kv_extra
e2_A_p0.5_c008_l0.65_L2_g1.0_r05,A,0.5,0.65,2.6,L2,1.0,8,5,1005,200,170.4036085379119,256,9569,0.2469355218107211,1.098711227099897,3.8263048672657836,1.1596877239459817,1.731943093884775,1.0392575694939314,2.537309178081974,1.3285740905040715,3.3088898836978853,0.6340804363325588,0.8839966130397968,0.9958720330237358,0.8876608477052468,0.7700999823440847,0.39297456870887476,0.3826971873233891,0.38606929513184735,0,0.7700999823440847,False,3163.0,5469,4068.0,1527,2011.0,1488,3896.0,1509,,
e2_A_p0.5_c008_l0.65_L2_g1.0_r06,A,0.5,0.65,2.6,L2,1.0,8,6,1006,200,136.75623133767823,177,9619,0.2562489215847477,1.105621025715946,3.266761673579979,1.1762425900707174,1.5774237094307553,1.0313388299323756,2.507173648338494,1.2638875544913162,2.766198411527735,0.5563541986366536,0.8734536605151085,0.9993600682593856,0.87401296915578,0.7835566138167116,0.3712614564538393,0.3866568504467994,0.3792767174009189,0,0.7835566138167116,False,4032.0,5594,3969.0,1434,2143.0,1493,2022.0,1472,,
e2_A_p0.5_c008_l0.65_L2_g1.0_r07,A,0.5,0.65,2.6,L2,1.0,8,7,1007,200,149.95217666753933,386,9625,0.24717067299060114,1.1739182694314392,5.853835665052979,1.274785057398649,3.353951450425532,1.0752694728971293,2.872574958148003,1.392380927637987,5.377951380023097,0.6207228197561122,0.8587938642571968,0.9856144677353063,0.8713283868797997,0.782919383979314,0.3908100531254487,0.40419263161695984,0.400387245292849,0,0.782919383979314,False,4080.0,5461,2091.0,1486,4005.0,1533,3924.0,1512,,
e2_A_p0.5_c008_l0.65_L2_g1.0_r08,A,0.5,0.65,2.6,L2,1.0,8,8,1008,200,140.98274675343467,255,9605,0.24471227570398993,1.0974677956045409,3.288041711244314,1.160396476645759,1.6166664971737932,1.0370434192170037,2.5471612024083696,1.3101869641434178,2.7856327851909626,0.5971422937463858,0.8835281615302869,0.9993877551020408,0.8840694285273445,0.7766363169231761,0.4046531685821717,0.39975317063191035,0.39546233287712035,0,0.7766363169231761,False,3124.0,5413,4066.0,1543,4048.0,1525,4036.0,1511,,
e2_A_p0.5_c008_l0.65_L2_g1.0_r10,A,0.5,0.65,2.6,L2,1.0,8,10,1010,200,177.73883861033806,256,9566,0.25323907987881755,1.1313764599668745,4.3507720492013275,1.214394282826444,1.7406984926688005,1.0461781223785214,2.5725355303267863,1.3128311303444207,3.8310454867013495,0.5978271595605295,0.8784313725490196,0.9927981359881382,0.8848036078096696,0.7927445516798604,0.39406561490163766,0.38694829519743135,0.39565810733347356,0,0.7927445516798604,False,3974.0,5522,1959.0,1493,2054.0,1477,2143.0,1502,,
e2_A_p0.5_c008_l0.65_L2_g1.0_r09,A,0.5,0.65,2.6,L2,1.0,8,9,1009,200,139.6983858740674,237,9607,0.247166655793749,1.0847023636006232,3.1091437706820124,1.1320098844582087,1.6908235254238422,1.038494791273265,2.441489412810563,1.3162793387840794,2.6187781932797543,0.6360128851191298,0.8923530650937435,0.997119341563786,0.8949310557894332,0.77079472931799,0.39723252703825923,0.39570970487546747,0.39828056164020303,0,0.77079472931799,False,3168.0,5430,4052.0,1519,2030.0,1511,4052.0,1533,,
e2_A_p0.5_c008_l0.80_L1_g1.0_r01,A,0.5,0.8,3.2,L1,1.0,8,1,1001,200,133.13550695094864,1167,9581,0.24476908367242567,1.354994537746208,5.063571630354716,1.5615152304599598,3.601617564149857,1.1572089867144641,3.4595174819046086,1.7667290060460072,4.516862645979752,1.3987752724926124,0.7522935779816514,0.9648549243972211,0.7796960547738674,0.8826344226158318,0.5017204948791838,0.4929802620052904,0.504034021455043,0,0.8826344226158318,False,7319.0,5239,8036.0,1588,7936.0,1561,6184.0,1595,,
e2_A_p0.5_c008_l0.80_L1_g1.0_r02,A,0.5,0.8,3.2,L1,1.0,8,2,1002,200,123.57050827437483,1959,9592,0.25669962900001775,1.6603139121609434,7.157868528757148,1.9978559069128439,5.166418603054693,1.304260616925648,5.188281775233451,2.848789842058039,6.61909262322871,1.7333784837919097,0.627944760357433,0.9104541559554413,0.6897049744349405,0.9045718651362521,0.49495624074017697,0.48356883307331616,0.49212021862105365,0,0.9045718651362521,False,7914.0,5381,8085.0,1542,6116.0,1516,6250.0,1544,,
e2_A_p0.5_c008_l0.80_L1_g1.0_r03,A,0.5,0.8,3.2,L1,1.0,8,3,1003,200,135.26767224608884,1720,9576,0.24999316179997755,1.6947931410975057,11.351980435694234,2.04703390475257,8.673551020242835,1.3431404254618986,5.167155422209335,2.576380768554417,10.859031216944235,1.6240893183229037,0.6356605351170569,0.9234140233722872,0.6883808552047315,0.8960743107685446,0.5001349250230558,0.49783116769661234,0.49692716289435407,0,0.8960743107685446,False,7299.0,5297,6228.0,1569,6200.0,1564,8081.0,1554,,
e2_A_p0.5_c008_l0.80_L1_g1.0_r05,A,0.5,0.8,3.2,L1,1.0,8,5,1005,200,140.93858350763543,1507,9561,0.24682778179714387,1.4726730699150317,6.383250813448206,1.7478909884565097,3.9820693031232204,1.204558649167831,4.564215151624716,2.214881868302103,5.897915852173022,1.0860945467836154,0.7098346757100467,0.9392938261408218,0.7557109990028041,0.8803017029920506,0.5015195289039385,0.4948518420235956,0.5023484148488506,0,0.8803017029920506,False,8168.0,5253,7970.0,1581,6213.0,1560,8022.0,1589,,
e2_A_p0.5_c008_l0.80_L1_g1.0_r04,A,0.5,0.8,3.2,L1,1.0,8,4,1004,200,122.0396918896351,1194,9615,0.24560090218949107,1.3711072149432064,4.742016809470456,1.6173535520654612,2.5634450219075235,1.1332687981438745,3.632289667042932,1.8247563688544233,4.259482629782955,1.134985526056999,0.720575783234547,0.9662645675730934,0.7457334227253849,0.8897288429619837,0.5026187306531864,0.5028352191426279,0.5010180799133271,0,0.8897288429619837,False,8085.0,5258,6061.0,1578,8087.0,1577,6408.0,1570,,
e2_A_p0.5_c008_l0.80_L1_g1.0_r06,A,0.5,0.8,3.2,L1,1.0,8,6,1006,200,114.89203791107154,1650,9609,0.25620544555448854,1.5656444035904926,6.828142147044063,1.849536860697809,5.071535192239098,1.2671451825713775,4.65044346495455,2.6574557261906055,6.2910895411793675,2.434017173210341,0.6629441624365482,0.9220751494449189,0.7189697746822856,0.9034336797630789,0.48359750263453155,0.4929393003839264,0.48487002652476763,0,0.9034336797630789,False,7294.0,5399,7830.0,1519,6362.0,1546,6236.0,1520,,
