run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,cv
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv2_r02,A,0.7,0.8,2.285714285714286,L1,1.0,32,2,1002,200,118.90175157429266,77,9718,0.35326565041617675,3.113526344716316,14.349511803076275,3.956254381061589,2.2110537822375047,1.0857212379829473,11.040748574063855,1.6568061140063037,13.858494443001787,0.9938343294933247,0.341442097596504,0.984577637574483,0.34679042521994513,0.8338592876297011,0.2153830845041603,0.22654939900230092,0.2215451807258782,0,0.8338592876297011,False,7841.0,7136,6127.0,927,6172.0,970,6348.0,951,2
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv2_r03,A,0.7,0.8,2.285714285714286,L1,1.0,32,3,1003,200,133.04097138312704,122,9722,0.35196005995791524,3.2895705762860383,16.443913120316353,4.220700505417313,2.1734219450086507,1.0818498913346997,10.915885050465311,1.61782238940076,15.92960386564016,0.9397577138430055,0.33401579409183974,0.9864771151178918,0.3385945694765785,0.8300016899239303,0.2222366451687547,0.22976567936614953,0.22027947375438806,0,0.8300016899239303,False,7368.0,7102,6335.0,952,8098.0,987,8150.0,942,2
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv2_r04,A,0.7,0.8,2.285714285714286,L1,1.0,32,4,1004,200,134.32847971334178,0,9719,0.3473658970780585,2.706549033896012,12.285417491573204,3.4222277696219585,2.0425013824508125,1.0762980453317486,9.112347383883629,1.655637450606855,11.775344926293243,1.0509168024537032,0.3861415457506663,0.987858347386172,0.3908875667977896,0.7913306610217753,0.21625931769421447,0.2187189176700248,0.22528524853053916,0,0.7913306610217753,False,8085.0,7031,6382.0,972,6300.0,977,8181.0,1003,2
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv2_r05,A,0.7,0.8,2.285714285714286,L1,1.0,32,5,1005,200,145.06010597570744,53,9684,0.3485516619447088,2.672395390929758,12.560274626086354,3.3675081333826875,2.1094627789895797,1.0747725073901226,8.769942191937533,1.6126332093360531,12.01791622764885,0.9692433132378261,0.40263781861292236,0.9870572207084468,0.4079174035360732,0.7983789899636078,0.21819076908320853,0.21936749955764176,0.21785685943155939,0,0.7983789899636078,False,8166.0,7044,8168.0,978,7942.0,982,8111.0,978,2
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv2_r06,A,0.7,0.8,2.285714285714286,L1,1.0,32,6,1006,200,126.29968063513624,448,9702,0.3568980450439599,3.6674077060692944,19.72634709251498,4.657961230617293,6.1387914135148725,1.1947719350624517,14.825032368437698,1.8372146280939994,19.191756279884704,0.8883539663348786,0.33448823444492565,0.96,0.3484252442134642,0.8412926965482612,0.2123741012653529,0.219159841697193,0.21688037353427203,0,0.8412926965482612,False,7189.0,7188,8052.0,914,7969.0,941,6177.0,940,2
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv2_r07,A,0.7,0.8,2.285714285714286,L1,1.0,32,7,1007,200,134.92125443491477,290,9717,0.35051309270787817,3.518916852749467,19.906565728126004,4.533786576750578,5.0890232912145,1.1379569940650438,13.335470648248041,1.735488334204183,19.408659629638304,0.9607295898282447,0.3251137531190371,0.9745179063360881,0.33361496079776815,0.835897607649149,0.23012510058299424,0.22875140883301204,0.22121153660583542,0,0.835897607649149,False,7139.0,7087,6318.0,975,6157.0,978,8101.0,944,2
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv2_r08,A,0.7,0.8,2.285714285714286,L1,1.0,32,8,1008,200,107.66748046875,126,9696,0.34954114402457753,2.8338061364300047,14.24305560723438,3.591771805081136,1.9629925795073333,1.0679960072647312,10.374140453154572,1.5508879289891404,13.745520822656154,0.9073826025805825,0.37765330188679247,0.9914148351648352,0.38092359372855544,0.7998286260509662,0.21581215171507584,0.2254416731457745,0.20976819956611606,0,0.7998286260509662,False,8134.0,7070,7961.0,967,7986.0,1005,8084.0,939,2
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv2_r09,A,0.7,0.8,2.285714285714286,L1,1.0,32,9,1009,200,144.92930490454447,109,9701,0.3521948222639628,2.888894607436551,15.189004312143922,3.650684289200341,2.0951267687194113,1.0766258765251315,10.8229284748586,1.628916722818758,14.684702554331421,0.9509659870551795,0.3831625183016105,0.9881574364332985,0.3877545259231314,0.7941232642789199,0.21006246377517615,0.20958143351170694,0.21153165287535872,0,0.7941232642789199,False,8141.0,7120,6244.0,950,8121.0,953,8005.0,959,2
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv2_r10,A,0.7,0.8,2.285714285714286,L1,1.0,32,10,1010,200,144.49847534435966,2,9695,0.3556459870171535,2.877233522918455,11.013112741459102,3.6144589662527182,1.9694815340350769,1.0609038847501533,8.703802846904864,1.5550287617413003,10.53181371278647,0.9435257692023679,0.3400522041763341,0.9917827795641301,0.34286963958557604,0.8207820993484082,0.20334123425563982,0.22223358223535586,0.2132278182991711,0,0.8207820993484082,False,8186.0,7158,6244.0,904,6131.0,983,6196.0,939,2
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv4_r01,A,0.7,0.8,2.285714285714286,L1,1.0,32,1,1001,200,131.69879295921135,3783,9699,0.3454291309732172,11.4321738010538,48.452604313289754,14.102318067808623,33.037265504586976,5.478365605852237,39.48644942595773,24.254287536373944,47.92814142266475,2.335357904161438,0.11589008363201912,0.5764235764235764,0.20105021441187373,0.804625528728054,0.23848540124317819,0.23469941792311527,0.2358109291690399,0,0.804625528728054,False,7319.0,6924,7947.0,1029,6142.0,1011,6107.0,1020,4
