p_hot,c,load,gamma,rho_hot_frozen,rho_hot_full,rho_B_pernode,hot_ratio_meanW,hot_ratio_p99TTFT,cold_ratio_p99TTFT_primary,cold_ratio_p99TTFT_mix,agg_mean_ratio_primary,agg_mean_ratio_mix,slo_flag_hotA,slo_flag_coldA_primary,slo_flag_coldA_mix,slo_crossed_primary,slo_crossed_mix,stable_frozen,stable_full,G_pp_L1,G_pp_L2
0.8,8,0.5,2.0,0.5,0.5625,0.1875,4.64828033744322,1.8556265418873146,0.9461869469233276,1.284965571117591,1.3196832768812832,1.3437057196527091,True,False,False,False,False,True,True,0.0,0.0
0.8,8,0.65,0.5,0.65,0.73125,0.24375,7.043100976412176,2.7496674235479537,0.8903531703162146,1.762543860982688,1.7182878015412213,1.7687891519110575,True,True,True,True,True,True,True,0.0,0.0
0.8,8,0.65,1.0,0.65,0.73125,0.24375,7.043100976412176,2.7496371856658244,0.8903278442586406,1.7625068497268166,1.7182878015412213,1.7687891519110575,True,True,False,True,False,True,True,0.0,0.0
0.8,8,0.65,2.0,0.65,0.73125,0.24375,7.043100976412176,2.7496047851918823,0.8903285789215513,1.7625017419079922,1.7182878015412213,1.7687891519110575,True,False,False,False,False,True,True,0.0,0.0
0.8,8,0.8,0.5,0.8,0.9,0.3,17.52044127190137,6.670067057640422,0.8312102290884588,3.9513380653967616,3.524689349893925,3.6898559428776396,True,True,False,True,False,True,True,0.0,0.0
0.8,8,0.8,1.0,0.8,0.9,0.3,17.52044127190137,6.6699792577403585,0.8312123037779853,3.9512772057299053,3.524689349893925,3.6898559428776396,True,False,False,False,False,True,True,0.0,0.0
0.8,8,0.8,2.0,0.8,0.9,0.3,17.52044127190137,6.669935358809992,0.8312010496195785,3.951259067941563,3.524689349893925,3.6898559428776396,True,False,False,False,False,True,True,0.0,0.0
0.8,16,0.5,0.5,0.5,0.5625,0.1875,4.64828033744322,1.8556348049104436,0.9462011419660696,1.2849822371341817,1.3196832768812832,1.3437057196527091,False,True,True,False,False,True,True,0.0,0.0
0.8,16,0.5,1.0,0.5,0.5625,0.1875,4.64828033744322,1.855618279023779,0.9461727520876534,1.284948905344113,1.3196832768812832,1.3437057196527091,True,True,False,True,False,True,True,0.0,0.0
0.8,16,0.5,2.0,0.5,0.5625,0.1875,4.64828033744322,1.8556265418873146,0.9461869469233276,1.284965571117591,1.3196832768812832,1.3437057196527091,True,False,False,False,False,True,True,0.0,0.0
0.8,16,0.65,0.5,0.65,0.73125,0.24375,7.043100976412176,2.7496674235479537,0.8903531703162146,1.762543860982688,1.7182878015412213,1.7687891519110575,True,True,True,True,True,True,True,0.0,0.0
0.8,16,0.65,1.0,0.65,0.73125,0.24375,7.043100976412176,2.7496371856658244,0.8903278442586406,1.7625068497268166,1.7182878015412213,1.7687891519110575,True,True,False,True,False,True,True,0.0,0.0
0.8,16,0.65,2.0,0.65,0.73125,0.24375,7.043100976412176,2.7496047851918823,0.8903285789215513,1.7625017419079922,1.7182878015412213,1.7687891519110575,True,False,False,False,False,True,True,0.0,0.0
0.8,16,0.8,0.5,0.8,0.9,0.3,17.52044127190137,6.670067057640422,0.8312102290884588,3.9513380653967616,3.524689349893925,3.6898559428776396,True,True,False,True,False,True,True,0.0,0.0
0.8,16,0.8,1.0,0.8,0.9,0.3,17.52044127190137,6.6699792577403585,0.8312123037779853,3.9512772057299053,3.524689349893925,3.6898559428776396,True,False,False,False,False,True,True,0.0,0.0
0.8,16,0.8,2.0,0.8,0.9,0.3,17.52044127190137,6.669935358809992,0.8312010496195785,3.951259067941563,3.524689349893925,3.6898559428776396,True,False,False,False,False,True,True,0.0,0.0
0.8,32,0.5,0.5,0.5,0.5625,0.1875,4.64828033744322,1.8556348049104436,0.9462011419660696,1.2849822371341817,1.3196832768812832,1.3437057196527091,False,True,True,False,False,True,True,0.0,0.0
0.8,32,0.5,1.0,0.5,0.5625,0.1875,4.64828033744322,1.855618279023779,0.9461727520876534,1.284948905344113,1.3196832768812832,1.3437057196527091,True,True,False,True,False,True,True,0.0,0.0
0.8,32,0.5,2.0,0.5,0.5625,0.1875,4.64828033744322,1.8556265418873146,0.9461869469233276,1.284965571117591,1.3196832768812832,1.3437057196527091,True,False,False,False,False,True,True,0.0,0.0
0.8,32,0.65,0.5,0.65,0.73125,0.24375,7.043100976412176,2.7496674235479537,0.8903531703162146,1.762543860982688,1.7182878015412213,1.7687891519110575,True,True,True,True,True,True,True,0.0,0.0
0.8,32,0.65,1.0,0.65,0.73125,0.24375,7.043100976412176,2.7496371856658244,0.8903278442586406,1.7625068497268166,1.7182878015412213,1.7687891519110575,True,True,False,True,False,True,True,0.0,0.0
0.8,32,0.65,2.0,0.65,0.73125,0.24375,7.043100976412176,2.7496047851918823,0.8903285789215513,1.7625017419079922,1.7182878015412213,1.7687891519110575,True,False,False,False,False,True,True,0.0,0.0
0.8,32,0.8,0.5,0.8,0.9,0.3,17.52044127190137,6.670067057640422,0.8312102290884588,3.9513380653967616,3.524689349893925,3.6898559428776396,True,True,False,True,False,True,True,0.0,0.0
0.8,32,0.8,1.0,0.8,0.9,0.3,17.52044127190137,6.6699792577403585,0.8312123037779853,3.9512772057299053,3.524689349893925,3.6898559428776396,True,False,False,False,False,True,True,0.0,0.0
0.8,32,0.8,2.0,0.8,0.9,0.3,17.52044127190137,6.669935358809992,0.8312010496195785,3.951259067941563,3.524689349893925,3.6898559428776396,True,False,False,False,False,True,True,0.0,0.0
0.8,64,0.5,0.5,0.5,0.5625,0.1875,4.64828033744322,1.8556348049104436,0.9462011419660696,1.2849822371341817,1.3196832768812832,1.3437057196527091,False,True,True,False,False,True,True,0.0,0.0
0.8,64,0.5,1.0,0.5,0.5625,0.1875,4.64828033744322,1.855618279023779,0.9461727520876534,1.284948905344113,1.3196832768812832,1.3437057196527091,True,True,False,True,False,True,True,0.0,0.0
0.8,64,0.5,2.0,0.5,0.5625,0.1875,4.64828033744322,1.8556265418873146,0.9461869469233276,1.284965571117591,1.3196832768812832,1.3437057196527091,True,False,False,False,False,True,True,0.0,0.0
0.8,64,0.65,0.5,0.65,0.73125,0.24375,7.043100976412176,2.7496674235479537,0.8903531703162146,1.762543860982688,1.7182878015412213,1.7687891519110575,True,True,True,True,True,True,True,0.0,0.0
0.8,64,0.65,1.0,0.65,0.73125,0.24375,7.043100976412176,2.7496371856658244,0.8903278442586406,1.7625068497268166,1.7182878015412213,1.7687891519110575,True,True,False,True,False,True,True,0.0,0.0
0.8,64,0.65,2.0,0.65,0.73125,0.24375,7.043100976412176,2.7496047851918823,0.8903285789215513,1.7625017419079922,1.7182878015412213,1.7687891519110575,True,False,False,False,False,True,True,0.0,0.0
0.8,64,0.8,0.5,0.8,0.9,0.3,17.52044127190137,6.670067057640422,0.8312102290884588,3.9513380653967616,3.524689349893925,3.6898559428776396,True,True,False,True,False,True,True,0.0,0.0
0.8,64,0.8,1.0,0.8,0.9,0.3,17.52044127190137,6.6699792577403585,0.8312123037779853,3.9512772057299053,3.524689349893925,3.6898559428776396,True,False,False,False,False,True,True,0.0,0.0
0.8,64,0.8,2.0,0.8,0.9,0.3,17.52044127190137,6.669935358809992,0.8312010496195785,3.951259067941563,3.524689349893925,3.6898559428776396,True,False,False,False,False,True,True,0.0,0.0
0.9,8,0.5,0.5,0.5,0.5277777777777778,0.1527777777777778,5.524822778273321,1.8097436667812754,0.9084297131351776,1.2571425101814786,1.3544693111041333,1.3661194339367584,False,True,True,False,False,True,True,0.0,0.0
0.9,8,0.5,1.0,0.5,0.5277777777777778,0.1527777777777778,5.524822778273321,1.8098040687418138,0.9084282664046887,1.257178171060124,1.3544693111041333,1.3661194339367584,True,True,False,True,False,True,True,0.0,0.0
0.9,8,0.5,2.0,0.5,0.5277777777777778,0.1527777777777778,5.524822778273321,1.8098342706959538,0.9084275430223012,1.257196001922008,1.3544693111041333,1.3661194339367584,True,False,False,False,False,True,True,0.0,0.0
0.9,8,0.65,0.5,0.6500000000000001,0.6861111111111112,0.19861111111111115,7.862032008136228,2.5849874963648194,0.9069734515626583,1.6600083568809336,1.7193901529954498,1.7418128041556902,False,True,True,False,False,True,True,0.0,0.0
0.9,8,0.65,1.0,0.6500000000000001,0.6861111111111112,0.19861111111111115,7.862032008136228,2.5850192791154254,0.9069720557451483,1.6600482689953113,1.7193901529954498,1.7418128041556902,True,True,False,True,False,True,True,0.0,0.0
0.9,8,0.65,2.0,0.6500000000000001,0.6861111111111112,0.19861111111111115,7.862032008136228,2.5849833354150693,0.906957749264568,1.6600283127884081,1.7193901529954498,1.7418128041556902,True,False,False,False,False,True,True,0.0,0.0
0.9,8,0.8,0.5,0.8,0.8444444444444444,0.2444444444444445,14.957131455934325,4.931825225293375,0.8911372343326559,2.914303706569508,2.8549834556710545,2.9096363477792138,True,True,False,True,False,True,True,0.0,0.0
0.9,8,0.8,1.0,0.8,0.8444444444444444,0.2444444444444445,14.957131455934325,4.931899157596397,0.891164266550669,2.91433106993278,2.8549834556710545,2.9096363477792138,True,True,False,True,False,True,True,0.0,0.0
0.9,8,0.8,2.0,0.8,0.8444444444444444,0.2444444444444445,14.957131455934325,4.931862191097341,0.8911650444027979,2.9143173881533606,2.8549834556710545,2.9096363477792138,True,False,False,False,False,True,True,0.0,0.0
0.9,16,0.5,0.5,0.5,0.5277777777777778,0.1527777777777778,5.524822778273321,1.8097436667812754,0.9084297131351776,1.2571425101814786,1.3544693111041333,1.3661194339367584,False,True,True,False,False,True,True,0.0,0.0
0.9,16,0.5,1.0,0.5,0.5277777777777778,0.1527777777777778,5.524822778273321,1.8098040687418138,0.9084282664046887,1.257178171060124,1.3544693111041333,1.3661194339367584,True,True,False,True,False,True,True,0.0,0.0
0.9,16,0.5,2.0,0.5,0.5277777777777778,0.1527777777777778,5.524822778273321,1.8098342706959538,0.9084275430223012,1.257196001922008,1.3544693111041333,1.3661194339367584,True,False,False,False,False,True,True,0.0,0.0
0.9,16,0.65,0.5,0.6500000000000001,0.6861111111111112,0.19861111111111115,7.862032008136228,2.5849874963648194,0.9069734515626583,1.6600083568809336,1.7193901529954498,1.7418128041556902,False,True,True,False,False,True,True,0.0,0.0
0.9,16,0.65,1.0,0.6500000000000001,0.6861111111111112,0.19861111111111115,7.862032008136228,2.5850192791154254,0.9069720557451483,1.6600482689953113,1.7193901529954498,1.7418128041556902,True,True,False,True,False,True,True,0.0,0.0
0.9,16,0.65,2.0,0.6500000000000001,0.6861111111111112,0.19861111111111115,7.862032008136228,2.5849833354150693,0.906957749264568,1.6600283127884081,1.7193901529954498,1.7418128041556902,True,False,False,False,False,True,True,0.0,0.0
0.9,16,0.8,0.5,0.8,0.8444444444444444,0.2444444444444445,14.957131455934325,4.931825225293375,0.8911372343326559,2.914303706569508,2.8549834556710545,2.9096363477792138,True,True,False,True,False,True,True,0.0,0.0
